phone_no,customer_segment,gender,number_of_children,income,marital_status,owns_vehicle,age_of_vehicle,vehicle_type,value_of_vehicle,accomodation_status_rented_own,owns_house,age_of_house,value_of_house,occupation,credit_score,customer_transactions_using_mobile_banking,customer_transactions_using_internet_banking,customer_transactions_using_mobile_wallet,length_of_the_customer’s_relationship_with_the_bank,educational_status,home_city_or_province,age,employed_or_business,address_type_permanent_temporary,date_of_card_issue,spending_on_credit_card_in_jan,spending_on_credit_card_in_feb,spending_on_credit_card_in_mar,spending_on_credit_card_in_apr,spending_on_credit_card_in_may,spending_on_credit_card_in_june,spending_on_credit_card_in_july,spending_on_credit_card_in_aug,spending_on_credit_card_in_sep,spending_on_credit_card_in_oct,spending_on_credit_card_in_nov,spending_on_credit_card_in_dec,transactions_jan,transactions_feb,transactions_mar,transactions_apr,transactions_may,transactions_june,transactions_july,transactions_aug,transactions_sep,transactions_oct,transactions_nov,transactions_dec,max_transaction_amount,category_of_max_number_of_transaction,category_of_max_spend_amount,atm_transaction_amount_yearly,no_of_atm_transaction_yearly,account_id
769-875-0010,gold,male,4,55926.61,married,yes,10.0,bike,876198.0,rented,no,,,plumber,645,30,71,41,14,High school,Hongdu,55,employed,temporary,6/17/2019,56854.0,54976.0,92670.0,23854.0,94861.0,55243.0,15610.0,,43144.0,85097.0,56522.0,97936.0,10,3,4,7,3,6,1,4,3,10,9,6,20198,hobby,others,6659257,49,100000000474
738-104-3580,gold,male,0,93574.75,unmarried,no,,car,,own,yes,10.0,84168727.0,pilot,645,8,79,95,15,Degree,Capitán Bado,42,business,temporary,3/26/2019,35079.0,65953.0,64094.0,27916.0,,35845.0,29103.0,58991.0,19999.0,94053.0,10198.0,85282.0,10,7,2,10,6,5,2,7,2,4,3,3,25152,others,travel,8369204,41,100000000475
777-736-1393,silver,male,4,49019.3,unmarried,no,,bike,,own,yes,10.0,58745513.0,plumber,744,7,54,59,11,High school,Höganäs,25,employed,permanent,4/16/2019,21356.0,18690.0,36754.0,27492.0,27754.0,37431.0,86235.0,46133.0,31142.0,19481.0,99377.0,58019.0,9,4,8,4,10,5,10,2,3,3,6,10,21731,leisure,others,8821403,24,100000000476
818-684-5521,silver,male,0,76044.62,married,no,,bike,,rented,no,,,doctor,400,75,26,100,3,Degree,Balyaga,30,employed,temporary,6/27/2019,98987.0,60033.0,34166.0,92749.0,87185.0,54305.0,59433.0,94150.0,99799.0,18115.0,45306.0,98069.0,9,8,5,3,9,10,9,2,7,8,2,9,29983,hobby,tech,9146041,43,100000000477
631-368-0711,gold,male,3,11129.35,married,yes,8.0,car,845178.0,own,yes,17.0,1925632.0,shop_owner,693,88,78,30,8,High school,Katrineholm,28,business,permanent,6/23/2019,34128.0,42679.0,91246.0,18936.0,14492.0,88099.0,32208.0,60859.0,,54997.0,80152.0,53240.0,4,8,5,2,6,10,10,7,2,5,6,1,21333,food,hospital,2121351,95,100000000478
936-693-6961,gold,female,1,77080.62,unmarried,yes,3.0,car,830505.0,rented,no,,,plumber,749,13,61,100,4,Degree,Bogolyubovo,51,business,permanent,6/10/2019,29957.0,17395.0,48485.0,54904.0,41602.0,46554.0,26699.0,82257.0,39742.0,15429.0,22564.0,,10,10,3,7,4,1,8,3,6,6,2,10,21996,tech,tech,4913735,19,100000000479
720-722-8068,silver,female,1,84066.5,married,yes,3.0,bike,207793.0,rented,no,,,unskilled_labour,426,96,18,78,15,High school,Pulau Pinang,25,business,permanent,4/10/2019,33692.0,16503.0,14939.0,42258.0,19561.0,32771.0,91448.0,93213.0,57760.0,10187.0,90990.0,66698.0,4,8,8,2,4,10,6,3,7,6,6,1,22087,food,travel,6566983,41,100000000480
414-390-9839,gold,female,1,33313.39,unmarried,yes,10.0,bike,408776.0,own,yes,12.0,37033245.0,teacher,818,20,5,68,2,High school,Tolitoli,38,employed,temporary,6/20/2019,69192.0,99299.0,25115.0,23041.0,84956.0,26671.0,68756.0,65602.0,,25789.0,81711.0,53146.0,2,6,5,2,9,2,6,3,9,9,9,6,23055,hobby,leisure,6514518,32,100000000481
827-155-0105,silver,male,3,49874.73,unmarried,no,,bike,,own,yes,6.0,69326743.0,pilot,492,25,18,51,3,High school,Boldumsaz,26,employed,permanent,3/31/2019,49350.0,58739.0,45333.0,81521.0,32621.0,24753.0,64742.0,,26136.0,80988.0,52546.0,94353.0,6,9,5,7,2,3,10,7,1,4,8,6,27355,others,leisure,5843119,45,100000000482
136-584-3229,gold,male,1,88648.71,unmarried,yes,7.0,car,259302.0,rented,no,,,doctor,774,18,56,78,4,Degree,Sidomulyo,53,employed,permanent,6/7/2019,18155.0,98826.0,45339.0,59350.0,,49977.0,80501.0,60884.0,32120.0,49190.0,45898.0,39270.0,8,5,4,8,2,10,4,5,5,1,3,1,24345,hobby,hobby,5849706,80,100000000483
102-498-6835,gold,male,2,39838.38,unmarried,no,,car,,rented,no,,,shop_owner,517,86,63,2,15,High school,Svay Rieng,50,business,temporary,4/20/2019,62921.0,89713.0,59712.0,64373.0,19729.0,46203.0,,92740.0,99689.0,,93291.0,32490.0,10,4,3,10,8,6,6,8,4,7,2,3,25065,tech,others,3308912,87,100000000484
993-147-0629,gold,female,1,76695.46,unmarried,yes,5.0,car,842561.0,own,yes,16.0,16726190.0,plumber,681,12,58,94,14,High school,Yimnón,38,business,temporary,3/7/2019,48932.0,85716.0,,,20116.0,53806.0,92051.0,,64055.0,24813.0,45623.0,28610.0,9,4,2,4,6,6,5,4,6,8,9,8,28693,travel,tech,8165925,13,100000000485
184-520-2884,silver,male,4,72436.95,married,yes,4.0,bike,349992.0,rented,no,,,shop_owner,848,91,3,64,1,High school,Montecillo,39,business,permanent,6/4/2019,16787.0,30499.0,,35200.0,51942.0,,99077.0,32730.0,83365.0,48328.0,82668.0,30616.0,6,7,6,9,10,1,8,2,6,5,8,9,21297,travel,travel,1368239,52,100000000486
617-578-0628,silver,male,2,99372.13,unmarried,yes,7.0,car,917304.0,own,yes,7.0,55492705.0,doctor,555,92,5,18,3,Degree,Bardaskan,60,employed,permanent,5/6/2019,93741.0,56653.0,54808.0,32030.0,17675.0,,89232.0,96733.0,65175.0,25911.0,55592.0,92595.0,1,8,1,9,9,7,6,4,5,9,10,9,26600,food,food,1865938,70,100000000487
786-347-9247,silver,male,5,67603.1,married,no,,bike,,own,yes,15.0,86461378.0,plumber,613,12,98,32,1,High school,Domsjö,47,employed,temporary,6/29/2019,16050.0,24566.0,98338.0,12929.0,40438.0,97540.0,46234.0,40199.0,32918.0,28547.0,67530.0,96120.0,10,3,9,9,7,10,3,9,2,7,9,7,26945,others,leisure,5623052,56,100000000488
525-595-8238,silver,female,2,96435.66,unmarried,yes,2.0,car,706123.0,own,yes,17.0,23594584.0,farmer,671,53,3,24,5,High school,Tancheng,45,employed,temporary,4/2/2019,45417.0,16039.0,60887.0,13402.0,19226.0,81856.0,66373.0,,42970.0,51331.0,60642.0,82310.0,4,1,7,6,7,4,9,4,5,10,7,2,28052,leisure,tech,3238000,95,100000000489
904-825-2891,gold,female,4,72074.18,unmarried,no,,bike,,own,yes,12.0,28127420.0,firefighter,539,66,53,14,7,Degree,Banjar Pedawa,27,business,temporary,5/26/2019,66398.0,45068.0,36150.0,80448.0,80535.0,14311.0,20273.0,90511.0,60730.0,86094.0,,66849.0,10,6,7,7,9,8,1,2,3,1,10,10,25915,others,tech,7846103,91,100000000490
952-768-8275,silver,female,1,82864.71,married,no,,car,,rented,no,,,teacher,762,40,99,86,5,Degree,Abangay,54,employed,permanent,5/28/2019,20357.0,20943.0,14014.0,41244.0,89152.0,64556.0,80446.0,40403.0,17662.0,,40848.0,29732.0,10,5,1,8,3,10,8,10,5,6,4,3,21232,tech,hobby,1498344,13,100000000491
116-916-2723,gold,female,0,96706.99,unmarried,yes,1.0,car,557593.0,own,yes,4.0,59682946.0,teacher,847,71,13,15,7,Degree,Neklyudovo,50,business,temporary,6/17/2019,65055.0,18472.0,28139.0,11405.0,,29661.0,19861.0,,54021.0,12877.0,32326.0,,10,7,5,8,1,2,2,4,5,3,5,4,25302,leisure,tech,2219214,69,100000000492
293-902-0753,gold,male,0,68577.61,unmarried,yes,7.0,bike,142844.0,own,yes,13.0,97252302.0,shop_owner,735,63,95,54,13,High school,Baishan,35,business,permanent,4/1/2019,63729.0,,32014.0,43893.0,51295.0,,57771.0,40423.0,15039.0,82772.0,45505.0,60806.0,6,8,9,1,2,8,5,4,5,7,10,8,25954,travel,hospital,700160,91,100000000493
961-680-3555,silver,female,0,70395.05,unmarried,yes,5.0,bike,423437.0,rented,no,,,farmer,442,31,48,16,11,High school,Xiangyang,55,employed,permanent,4/29/2019,,89852.0,13942.0,,,16062.0,10997.0,52866.0,26372.0,28792.0,22062.0,49315.0,10,6,6,9,8,4,7,3,4,9,9,1,27142,hospital,others,3875092,45,100000000494
357-634-4896,silver,female,2,51691.7,married,yes,7.0,bike,352490.0,own,yes,2.0,25801354.0,engineer,791,26,54,58,14,Degree,Hechun,58,employed,permanent,6/14/2019,88865.0,36893.0,86060.0,,28650.0,42609.0,11226.0,54944.0,96399.0,58891.0,26001.0,21456.0,9,4,6,10,5,5,5,4,9,2,4,2,23010,hobby,leisure,2040443,11,100000000495
742-647-2325,gold,female,0,89880.72,married,yes,5.0,car,855003.0,rented,no,,,unskilled_labour,660,100,36,64,14,High school,Eséka,36,business,temporary,3/17/2019,90337.0,30187.0,61853.0,42270.0,,41918.0,11971.0,50470.0,95314.0,42679.0,20771.0,28817.0,10,2,8,10,4,6,5,8,1,8,5,8,20367,tech,others,3863492,84,100000000496
528-548-8824,gold,male,3,86416.8,married,yes,11.0,car,219848.0,rented,no,,,unskilled_labour,322,88,91,37,2,High school,Nakusp,42,business,temporary,3/10/2019,97702.0,38116.0,59985.0,,,56183.0,43616.0,32884.0,69494.0,24153.0,40337.0,60983.0,10,9,4,9,10,5,8,3,10,3,7,1,21690,tech,hospital,368804,45,100000000497
673-504-4411,silver,male,3,21858.25,unmarried,no,,car,,own,yes,12.0,55568913.0,driver,775,20,73,88,9,High school,Dahuangwei,53,business,temporary,3/11/2019,92822.0,,92267.0,85659.0,35487.0,28892.0,46476.0,54020.0,12434.0,30336.0,26062.0,56489.0,10,8,10,9,4,7,8,9,3,10,4,8,22930,hobby,food,6715186,73,100000000498
909-375-8159,silver,male,0,38726.16,unmarried,no,,bike,,own,yes,14.0,70178851.0,technicians,848,74,39,32,10,Degree,Vitrolles,29,employed,permanent,4/5/2019,97734.0,,,15031.0,31921.0,87510.0,59108.0,34979.0,80720.0,21366.0,39837.0,98832.0,3,4,10,4,1,4,9,4,7,6,4,9,23327,hobby,food,7645935,16,100000000499
617-121-3791,gold,female,2,27249.58,unmarried,yes,1.0,car,721095.0,rented,no,,,nurse,493,31,41,40,12,High school,Xiehu,43,employed,permanent,3/20/2019,43367.0,15476.0,59024.0,,92690.0,88486.0,30060.0,58340.0,58455.0,81657.0,97574.0,48475.0,7,4,5,5,10,10,3,6,10,9,10,6,21476,tech,food,494948,22,100000000500
213-808-2143,gold,female,2,86064.66,married,no,,car,,own,yes,10.0,77100072.0,technicians,617,33,5,59,10,Degree,Banjar Dukuh,32,business,permanent,5/30/2019,39808.0,88021.0,53186.0,80700.0,82341.0,68499.0,37790.0,33231.0,97465.0,34390.0,26132.0,54101.0,3,1,9,6,10,1,6,9,3,9,8,9,22837,hobby,travel,9994281,50,100000000501
337-208-9553,silver,male,0,35529.08,unmarried,no,,bike,,own,yes,15.0,6816472.0,farmer,352,3,31,48,2,High school,Tây Đằng,42,employed,permanent,4/1/2019,60719.0,54414.0,65108.0,,82748.0,93607.0,28338.0,15786.0,27002.0,66381.0,35224.0,81833.0,6,3,2,5,1,8,2,6,4,7,10,2,25319,hobby,food,7344571,66,100000000502
793-707-8169,gold,female,1,77682.48,married,no,,car,,own,yes,4.0,26135279.0,technicians,726,33,26,36,10,High school,Dimitrovgrad,28,employed,permanent,6/14/2019,21949.0,25654.0,35224.0,88969.0,43895.0,15970.0,56516.0,15228.0,95314.0,13260.0,58590.0,12585.0,3,10,5,10,10,5,8,4,9,2,5,5,26384,leisure,food,7194404,82,100000000503
818-395-9592,silver,male,4,36448.16,married,yes,3.0,car,799491.0,own,yes,2.0,23045052.0,nurse,411,28,1,88,5,High school,Jaboticabal,32,employed,permanent,5/28/2019,50145.0,10241.0,,30128.0,86359.0,14468.0,15466.0,87390.0,17348.0,13257.0,18116.0,37839.0,5,5,3,8,8,9,8,6,10,1,3,8,20157,hobby,hobby,4705956,10,100000000504
112-150-6613,silver,female,0,64846.73,married,no,,car,,own,yes,19.0,98725058.0,unskilled_labour,716,32,32,95,8,High school,Muldersdriseloop,36,business,permanent,6/17/2019,54455.0,50160.0,98493.0,43795.0,25005.0,35396.0,88374.0,39423.0,69813.0,14343.0,41920.0,45852.0,2,2,8,1,5,1,10,9,5,10,2,8,27894,tech,tech,7523300,89,100000000505
222-978-7059,gold,female,0,25723.66,unmarried,yes,12.0,car,738985.0,rented,no,,,driver,580,24,56,62,4,High school,Yangsan,25,business,temporary,4/11/2019,25565.0,11798.0,,21598.0,21675.0,85858.0,31335.0,90720.0,57475.0,28578.0,45934.0,83424.0,2,7,9,2,6,9,2,10,9,5,2,5,28580,leisure,leisure,7658474,26,100000000506
812-911-5002,gold,female,2,49623.92,married,no,,car,,own,yes,13.0,72396638.0,nurse,806,96,58,56,10,High school,Kuripan,35,employed,permanent,6/27/2019,55478.0,14799.0,,53255.0,81603.0,21316.0,60677.0,20009.0,26224.0,24624.0,84003.0,,8,4,8,9,3,8,6,8,4,2,1,7,27752,tech,food,4171289,44,100000000507
618-565-5021,gold,male,2,23676.17,unmarried,no,,bike,,own,yes,9.0,25153042.0,politician,482,2,19,88,3,High school,Dake,60,business,temporary,4/6/2019,23022.0,,58971.0,38162.0,62241.0,84575.0,94446.0,49722.0,20158.0,14705.0,82572.0,35539.0,4,8,7,4,4,2,2,2,10,2,5,9,24941,leisure,leisure,7100244,25,100000000508
834-588-7516,silver,male,3,88415.0,married,no,,bike,,own,yes,9.0,52842490.0,engineer,618,43,11,35,4,Degree,Rixinhe,40,employed,temporary,3/13/2019,51225.0,92439.0,87211.0,43113.0,96910.0,45609.0,,65327.0,36323.0,35115.0,33850.0,45445.0,1,3,8,5,8,7,2,8,1,6,5,6,21695,tech,leisure,5939670,5,100000000509
283-543-2038,silver,male,3,20301.78,unmarried,no,,car,,own,yes,16.0,1340205.0,pilot,685,95,70,37,11,Degree,Sangatta,44,employed,permanent,5/17/2019,91342.0,,85091.0,25849.0,,51023.0,39449.0,93356.0,65810.0,46790.0,47526.0,13532.0,6,5,2,8,4,5,2,1,7,10,8,4,29963,others,leisure,9860180,56,100000000510
542-933-2037,gold,male,1,54707.37,married,yes,5.0,car,211878.0,own,yes,9.0,26541985.0,plumber,564,65,19,84,9,Degree,Sumbergedong,40,employed,permanent,6/30/2019,64569.0,63317.0,26805.0,,41218.0,30339.0,,66526.0,69552.0,32024.0,97660.0,49738.0,10,1,6,9,8,3,6,9,2,10,1,5,28181,food,leisure,556208,29,100000000511
507-770-0691,silver,male,0,43650.66,married,no,,bike,,own,yes,18.0,43020644.0,nurse,459,25,67,6,10,High school,Şafāshahr,38,employed,permanent,4/13/2019,12496.0,64568.0,99375.0,50928.0,44673.0,53655.0,96197.0,39978.0,23162.0,45427.0,91794.0,57515.0,8,7,5,2,10,1,7,10,9,4,9,5,29325,travel,travel,4571067,80,100000000512
994-655-1736,gold,male,4,63613.22,married,yes,10.0,bike,286449.0,own,yes,12.0,30807283.0,teacher,632,25,12,54,8,Degree,Tiang,39,employed,permanent,4/16/2019,37816.0,,,65443.0,40890.0,89839.0,23725.0,96170.0,,,69856.0,64326.0,7,7,1,6,2,1,6,7,5,3,5,3,21882,travel,hospital,1204182,75,100000000513
811-939-8083,silver,female,3,47538.76,married,yes,5.0,car,793148.0,own,yes,19.0,88774238.0,unskilled_labour,598,79,2,36,10,High school,Krasnohrad,27,business,temporary,4/18/2019,65124.0,39891.0,11243.0,98269.0,,41826.0,57890.0,19688.0,64572.0,56619.0,51239.0,,3,8,7,8,3,8,10,4,1,6,9,6,20293,leisure,others,1253646,72,100000000514
223-469-7596,silver,male,3,86975.81,married,yes,12.0,car,395523.0,own,yes,19.0,5528208.0,shop_owner,584,86,70,38,12,High school,Arvidsjaur,51,business,permanent,3/17/2019,95298.0,41263.0,58760.0,86440.0,81574.0,31207.0,,36999.0,34689.0,99412.0,15709.0,41924.0,9,3,9,8,4,1,4,9,3,5,10,4,27612,leisure,hospital,2274155,83,100000000515
841-318-1512,silver,female,1,24083.45,unmarried,no,,bike,,own,yes,5.0,67665454.0,engineer,409,30,97,100,4,Degree,São João,56,employed,permanent,4/14/2019,35313.0,27549.0,66422.0,34174.0,68931.0,61621.0,27384.0,20554.0,99898.0,26599.0,28070.0,43674.0,5,7,4,1,4,7,2,2,2,5,10,5,22861,hospital,leisure,9304093,36,100000000516
385-867-2679,gold,male,1,13986.61,married,yes,3.0,car,593936.0,own,yes,17.0,1881319.0,unskilled_labour,657,3,96,49,10,High school,Xiaotao,50,business,temporary,5/15/2019,45982.0,28564.0,62489.0,21622.0,87411.0,42192.0,28611.0,13994.0,53291.0,44082.0,14906.0,92130.0,8,4,9,6,3,4,3,6,1,8,10,1,25885,travel,hospital,8932962,85,100000000517
602-790-2974,gold,male,1,79222.29,unmarried,no,,bike,,own,yes,9.0,61535782.0,farmer,759,67,79,80,14,High school,Oslo,30,employed,temporary,5/23/2019,28225.0,17031.0,26239.0,97536.0,83244.0,36708.0,41016.0,91751.0,17584.0,32361.0,30861.0,58471.0,4,5,3,6,9,3,1,3,2,3,2,9,21272,tech,food,4713390,96,100000000518
963-192-1475,gold,female,5,99554.04,unmarried,yes,4.0,car,760521.0,own,yes,1.0,14174101.0,politician,576,50,32,86,1,High school,Changning,55,business,permanent,6/21/2019,27581.0,,44149.0,32990.0,14890.0,10195.0,33854.0,95967.0,58408.0,95974.0,94187.0,96420.0,7,10,8,8,3,6,6,10,7,6,6,7,28393,hospital,tech,5725033,47,100000000519
635-323-5519,silver,female,1,24625.47,unmarried,yes,2.0,car,284869.0,own,yes,19.0,87279060.0,unskilled_labour,360,82,90,59,2,High school,Bangunharja,33,business,permanent,6/4/2019,83142.0,67883.0,26087.0,43776.0,82524.0,42726.0,10232.0,46368.0,59110.0,12192.0,64991.0,85753.0,10,5,9,4,4,10,6,1,5,7,1,10,22160,others,hobby,6809107,84,100000000520
287-302-4173,gold,male,5,77771.04,unmarried,no,,bike,,rented,no,,,teacher,672,35,73,36,1,High school,Machikou,42,business,temporary,5/24/2019,,82981.0,32774.0,61692.0,68215.0,89791.0,,12999.0,47023.0,,43186.0,,3,9,5,1,9,9,8,7,2,3,9,1,29440,hospital,leisure,9247027,54,100000000521
977-476-6395,silver,female,3,55160.5,unmarried,no,,car,,rented,no,,,farmer,530,82,17,12,13,High school,Xingzhen,25,employed,permanent,6/12/2019,41903.0,82563.0,43871.0,,54120.0,,21594.0,67023.0,44566.0,96097.0,99005.0,91761.0,8,10,5,3,9,8,10,6,6,4,1,6,22550,hobby,others,8330407,33,100000000522
883-685-7369,gold,female,3,64965.26,unmarried,no,,bike,,own,yes,7.0,98806341.0,engineer,315,76,25,46,7,Degree,Sollefteå,42,employed,temporary,6/7/2019,39854.0,52076.0,64268.0,46071.0,89819.0,50640.0,13870.0,17864.0,96346.0,47253.0,36891.0,28421.0,6,3,2,6,7,7,1,8,8,10,3,2,27983,tech,leisure,526086,44,100000000523
403-180-0160,silver,male,0,47031.51,unmarried,no,,bike,,own,yes,16.0,62635826.0,driver,679,78,44,53,1,High school,Buenavista,25,employed,permanent,6/28/2019,,81529.0,99616.0,22645.0,92019.0,86512.0,28250.0,31852.0,67264.0,17176.0,47051.0,28688.0,8,5,2,2,6,10,9,10,10,6,9,5,24998,hobby,hospital,8569425,69,100000000524
958-563-8266,silver,female,5,50326.86,married,no,,bike,,own,yes,12.0,42370622.0,farmer,525,70,37,41,15,High school,Yuxin,44,employed,temporary,5/1/2019,96143.0,95265.0,39267.0,23567.0,22036.0,90708.0,23448.0,89508.0,21758.0,87145.0,91225.0,43529.0,9,1,10,8,10,4,5,9,5,6,3,3,20916,tech,travel,9149511,67,100000000525
533-332-1530,gold,female,4,85570.9,married,yes,6.0,bike,352091.0,own,yes,7.0,26318774.0,farmer,349,84,28,51,1,High school,Leworook,41,employed,permanent,4/12/2019,96864.0,69977.0,30994.0,65313.0,47303.0,44589.0,92886.0,,92765.0,53293.0,,87537.0,10,8,1,6,1,8,10,3,3,2,6,6,20646,leisure,tech,9889005,4,100000000526
175-489-2665,gold,male,2,50840.12,unmarried,yes,8.0,bike,682657.0,own,yes,11.0,55483985.0,politician,828,84,93,47,2,High school,São Sepé,47,business,permanent,6/20/2019,35914.0,95982.0,32242.0,50502.0,29819.0,56042.0,,66612.0,,26590.0,42419.0,52787.0,4,7,4,1,9,3,8,1,10,6,5,8,21669,leisure,food,9056486,42,100000000527
215-882-7317,gold,female,5,21822.78,married,yes,2.0,car,104651.0,own,yes,19.0,2068977.0,technicians,544,16,60,5,7,Degree,Saint-Pierre-Montlimart,42,business,permanent,3/7/2019,34961.0,31384.0,17287.0,93348.0,,46444.0,43668.0,19110.0,81053.0,67469.0,59903.0,43961.0,3,7,1,1,6,9,9,3,2,2,3,4,22687,hospital,tech,4636791,13,100000000528
867-837-5405,silver,female,5,62514.43,married,no,,bike,,own,yes,11.0,92655313.0,technicians,273,84,14,13,15,High school,Arjona,39,business,temporary,6/4/2019,85426.0,91840.0,51464.0,61277.0,53137.0,90706.0,15720.0,33966.0,60611.0,29389.0,10133.0,47783.0,1,1,1,5,4,4,3,1,9,4,7,1,26981,hospital,travel,9372322,51,100000000529
988-696-1154,gold,female,0,31513.34,unmarried,yes,4.0,car,889113.0,rented,no,,,plumber,545,67,75,76,9,Degree,Genang,41,business,temporary,5/19/2019,,19894.0,15412.0,,17646.0,24230.0,,87464.0,69028.0,53159.0,47421.0,,4,7,7,7,6,7,10,3,2,2,9,10,26013,others,others,4571681,11,100000000530
197-184-5273,gold,female,3,29175.71,married,yes,6.0,bike,580292.0,rented,no,,,shop_owner,261,77,62,59,13,High school,Guanli,48,business,permanent,4/6/2019,24489.0,11878.0,58607.0,33980.0,96805.0,39436.0,91452.0,,95291.0,34936.0,98503.0,43177.0,8,2,10,2,3,8,6,6,7,3,4,4,27664,food,hobby,3451466,67,100000000531
920-835-7810,gold,male,3,48903.23,unmarried,no,,car,,rented,no,,,nurse,458,4,99,8,14,High school,Saquarema,33,employed,temporary,4/28/2019,56328.0,60632.0,43576.0,38621.0,27298.0,53889.0,93913.0,68580.0,44511.0,53000.0,19392.0,97785.0,2,2,8,7,3,9,3,10,2,9,10,3,28438,tech,travel,9857025,26,100000000532
812-801-6043,silver,female,4,36248.87,unmarried,no,,car,,rented,no,,,driver,547,16,24,60,13,Degree,Shantou,51,employed,temporary,5/3/2019,33414.0,69497.0,33427.0,32769.0,21636.0,88318.0,,,11426.0,61846.0,15330.0,52355.0,6,4,10,8,6,3,6,6,8,5,8,7,27184,tech,tech,4145134,39,100000000533
978-784-9709,silver,female,1,21686.11,married,yes,7.0,car,155666.0,rented,no,,,unskilled_labour,651,12,40,5,2,High school,Tangnan,43,business,temporary,6/5/2019,12023.0,44806.0,15512.0,41540.0,49891.0,10082.0,24383.0,53661.0,,23814.0,35755.0,39495.0,4,7,5,9,7,7,8,10,2,10,6,3,21300,food,others,2506731,32,100000000534
585-280-8583,silver,male,1,44260.84,married,yes,9.0,bike,456948.0,rented,no,,,farmer,396,63,66,54,8,High school,Şuwayr,49,employed,temporary,4/9/2019,31232.0,68613.0,39689.0,16531.0,41468.0,,65911.0,,,32290.0,,12725.0,10,6,8,4,1,6,6,3,4,2,2,4,22325,food,travel,4379190,26,100000000535
562-742-6754,gold,male,3,29797.25,married,no,,car,,rented,no,,,pilot,442,18,57,66,3,Degree,Göteborg,29,business,temporary,6/5/2019,15384.0,15447.0,42763.0,49270.0,53210.0,,87330.0,32166.0,48878.0,61655.0,11597.0,80397.0,6,9,6,6,5,6,4,10,1,7,2,10,28719,tech,travel,7313887,25,100000000536
960-527-0950,silver,male,1,88682.67,unmarried,yes,5.0,bike,696641.0,own,yes,22.0,59010400.0,unskilled_labour,511,22,74,15,10,High school,San Alejandro,45,business,temporary,6/8/2019,66620.0,10178.0,48179.0,96615.0,,28187.0,12820.0,32158.0,93258.0,13974.0,47005.0,68800.0,4,6,8,10,1,10,2,7,2,4,10,4,21152,hobby,hobby,9090969,27,100000000537
220-100-8318,gold,male,3,13854.18,unmarried,no,,bike,,own,yes,17.0,47858804.0,plumber,563,82,84,87,2,High school,Sukosari,53,business,permanent,6/23/2019,93528.0,69467.0,29737.0,19524.0,88782.0,34388.0,98083.0,38674.0,94276.0,63419.0,24940.0,,2,9,9,3,7,6,6,6,9,8,7,4,27900,others,hobby,1823403,100,100000000538
629-442-8154,silver,male,4,50805.77,married,no,,bike,,own,yes,10.0,22396084.0,politician,745,16,14,28,14,High school,Qiangtou,38,business,permanent,5/25/2019,85892.0,49199.0,82753.0,86934.0,81577.0,68476.0,27786.0,14408.0,33809.0,96155.0,,35883.0,4,1,7,2,10,8,2,9,7,4,5,1,23721,others,hobby,3018097,84,100000000539
854-594-3103,silver,female,2,92811.08,married,no,,car,,rented,no,,,doctor,487,80,56,84,6,Degree,Hofors,40,employed,permanent,3/11/2019,66801.0,40570.0,30168.0,90087.0,88094.0,57103.0,83083.0,97572.0,48883.0,42344.0,30938.0,43667.0,4,8,3,7,6,5,6,8,8,6,2,3,23354,others,tech,2958502,36,100000000540
573-735-1112,silver,male,3,20893.47,unmarried,no,,car,,rented,no,,,nurse,380,46,45,35,4,High school,Shuigou,39,employed,permanent,6/7/2019,94317.0,,99567.0,27432.0,20796.0,82974.0,27442.0,57586.0,80826.0,68637.0,88731.0,20456.0,10,10,2,5,5,9,2,1,10,8,5,7,29113,travel,tech,4997313,18,100000000541
312-682-0863,silver,female,0,33249.18,married,no,,bike,,own,yes,5.0,18189568.0,farmer,651,87,11,94,5,High school,Nancang,44,employed,permanent,4/27/2019,,,85969.0,15632.0,64462.0,28833.0,,42190.0,66407.0,50768.0,97136.0,12049.0,3,9,10,6,2,10,4,8,3,4,5,6,23530,hobby,travel,285496,26,100000000542
989-304-0182,gold,male,0,23660.87,unmarried,yes,10.0,car,881432.0,rented,no,,,nurse,387,84,28,91,6,High school,Kanye,50,employed,temporary,4/19/2019,20864.0,81175.0,25363.0,,84472.0,53294.0,85196.0,28326.0,16562.0,34541.0,22117.0,16304.0,7,2,6,7,9,2,6,8,9,10,7,3,20344,hospital,hobby,4011039,44,100000000543
402-189-3266,silver,female,5,30942.8,married,no,,bike,,rented,no,,,engineer,717,79,29,32,15,Degree,El Obeid,36,employed,permanent,4/14/2019,63871.0,45838.0,48289.0,61248.0,98826.0,48122.0,14704.0,15993.0,36521.0,,65807.0,50253.0,9,5,7,6,2,6,2,3,8,1,5,10,21542,others,leisure,9219491,58,100000000544
766-801-4958,silver,male,4,15155.53,unmarried,yes,2.0,car,800911.0,rented,no,,,plumber,661,71,75,23,10,High school,Yershov,50,business,permanent,5/24/2019,,87595.0,85966.0,94867.0,11382.0,13910.0,,39238.0,44674.0,,18466.0,37997.0,3,1,9,6,5,5,9,1,9,6,10,9,23534,food,leisure,8455555,66,100000000545
825-507-1090,gold,male,1,72940.53,married,yes,2.0,car,457611.0,own,yes,19.0,17063842.0,farmer,562,6,98,60,1,High school,Dijon,37,employed,permanent,3/10/2019,92306.0,13802.0,11664.0,83328.0,,91756.0,53834.0,,45992.0,83409.0,91387.0,11358.0,9,2,4,1,5,2,5,3,4,3,5,1,24959,food,leisure,1216036,98,100000000546
